experiment,iteration,mutation_ms,n_gaussians_after,n_gaussians_before,operation,scene,score_ms,total_ms
full,7100,22.51568031311035,2828839,2829357,densify,garden,17.124576568603516,39.64025688171387
full,7200,22.143840789794922,2826313,2828839,densify,garden,16.667808532714844,38.811649322509766
full,7300,22.426624298095703,2824541,2826313,densify,garden,17.185792922973633,39.612417221069336
full,7400,23.593952178955078,2822792,2824541,densify,garden,17.019807815551758,40.613759994506836
full,7500,22.48601531982422,2826771,2822792,densify,garden,16.56915283203125,39.05516815185547
full,7600,23.686752319335938,2835797,2826771,densify,garden,17.10736083984375,40.79411315917969
full,7700,22.54819107055664,2832827,2835797,densify,garden,16.734495162963867,39.28268623352051
full,7800,22.42451286315918,2834044,2832827,densify,garden,16.86739158630371,39.29190444946289
full,7900,22.2740478515625,2830619,2834044,densify,garden,16.949247360229492,39.22329521179199
full,8000,24.30361557006836,2839815,2830619,densify,garden,16.62566375732422,40.92927932739258
full,8100,22.356992721557617,2846280,2839815,densify,garden,17.19481658935547,39.551809310913086
full,8200,23.113727569580078,2849519,2846280,densify,garden,16.79974365234375,39.91347122192383
full,8300,22.519968032836914,2845921,2849519,densify,garden,16.21708869934082,38.737056732177734
full,8400,22.49283218383789,2844246,2845921,densify,garden,16.32579231262207,38.81862449645996
full,8500,22.387712478637695,2841562,2844246,densify,garden,16.65433692932129,39.042049407958984
full,8600,23.11782455444336,2852915,2841562,densify,garden,16.8703670501709,39.98819160461426
full,8700,23.152639389038086,2851718,2852915,densify,garden,16.727872848510742,39.88051223754883
full,8800,23.043071746826172,2861818,2851718,densify,garden,17.21753692626953,40.2606086730957
full,8900,22.633472442626953,2858900,2861818,densify,garden,16.326656341552734,38.96012878417969
full,9000,22.81667137145996,2862450,2858900,densify,garden,16.511072158813477,39.32774353027344
full,9100,22.85055923461914,2865951,2862450,densify,garden,18.02342414855957,40.87398338317871
full,9200,23.310239791870117,2865175,2865951,densify,garden,17.996095657348633,41.30633544921875
full,9300,23.184383392333984,2870727,2865175,densify,garden,18.363391876220703,41.54777526855469
full,9400,22.848512649536133,2872402,2870727,densify,garden,17.61587142944336,40.46438407897949
full,9500,24.020191192626953,2868852,2872402,densify,garden,17.54707145690918,41.56726264953613
full,9600,23.28166389465332,2873956,2868852,densify,garden,17.731552124023438,41.01321601867676
full,9700,22.89254379272461,2879890,2873956,densify,garden,17.847007751464844,40.73955154418945
full,9800,22.46656036376953,2876947,2879890,densify,garden,17.311744689941406,39.77830505371094
full,9900,22.597631454467773,2877075,2876947,densify,garden,16.696319580078125,39.2939510345459
full,10000,23.806976318359375,2882354,2877075,densify,garden,16.827392578125,40.634368896484375
full,10100,22.797311782836914,2878228,2882354,densify,garden,16.37273597717285,39.170047760009766
full,10200,23.284000396728516,2874899,2878228,densify,garden,16.573440551757812,39.85744094848633
full,10300,23.137279510498047,2886019,2874899,densify,garden,17.368064880371094,40.50534439086914
full,10400,22.803104400634766,2885966,2886019,densify,garden,16.732511520385742,39.53561592102051
full,10500,22.733600616455078,2883703,2885966,densify,garden,16.521440505981445,39.25504112243652
full,10600,22.618335723876953,2884949,2883703,densify,garden,16.8407039642334,39.45903968811035
full,10700,22.88435173034668,2890685,2884949,densify,garden,16.881664276123047,39.76601600646973
full,10800,22.38582420349121,2893758,2890685,densify,garden,16.035839080810547,38.42166328430176
full,10900,23.409664154052734,2893936,2893758,densify,garden,16.61747169494629,40.02713584899902
full,11000,22.69183921813965,2898863,2893936,densify,garden,16.678911209106445,39.370750427246094
full,11100,22.803455352783203,2906698,2898863,densify,garden,16.646944046020508,39.45039939880371
full,11200,22.747135162353516,2910972,2906698,densify,garden,16.925695419311523,39.67283058166504
full,11300,22.84137535095215,2908573,2910972,densify,garden,16.416767120361328,39.25814247131348
full,11400,22.659936904907227,2906748,2908573,densify,garden,16.188575744628906,38.84851264953613
full,11500,22.736127853393555,2905351,2906748,densify,garden,16.89084815979004,39.626976013183594
full,11600,22.968576431274414,2907982,2905351,densify,garden,16.84377670288086,39.81235313415527
full,11700,22.761472702026367,2904616,2907982,densify,garden,16.242687225341797,39.004159927368164
full,11800,23.110944747924805,2908684,2904616,densify,garden,16.490495681762695,39.6014404296875
full,11900,22.779647827148438,2912855,2908684,densify,garden,16.894271850585938,39.673919677734375
full,12000,22.92019271850586,2914291,2912855,densify,garden,16.506879806518555,39.427072525024414
full,12100,22.909088134765625,2920413,2914291,densify,garden,18.43097686767578,41.340065002441406
full,12200,22.761472702026367,2926224,2920413,densify,garden,17.55846405029297,40.319936752319336
full,12300,22.940767288208008,2938137,2926224,densify,garden,17.651615142822266,40.59238243103027
full,12400,22.88025665283203,2941430,2938137,densify,garden,17.164287567138672,40.0445442199707
full,12500,23.269664764404297,2946193,2941430,densify,garden,17.40287971496582,40.67254447937012
full,12600,23.166976928710938,2949904,2946193,densify,garden,17.929216384887695,41.09619331359863
full,12700,23.576576232910156,2954702,2949904,densify,garden,17.275583267211914,40.85215950012207
full,12800,23.164064407348633,2955280,2954702,densify,garden,17.070079803466797,40.23414421081543
full,12900,24.211456298828125,2968203,2955280,densify,garden,18.23232078552246,42.443777084350586
full,13000,23.413759231567383,2964596,2968203,densify,garden,16.339967727661133,39.753726959228516
full,13100,23.65247917175293,2962172,2964596,densify,garden,17.230815887451172,40.8832950592041
full,13200,23.85887908935547,2962323,2962172,densify,garden,17.01817512512207,40.87705421447754
full,13300,23.69945526123047,2959571,2962323,densify,garden,16.733184814453125,40.432640075683594
full,13400,23.405567169189453,2965687,2959571,densify,garden,16.6430721282959,40.04863929748535
full,13500,23.723007202148438,2963063,2965687,densify,garden,16.678911209106445,40.40191841125488
full,13600,23.28780746459961,2962509,2963063,densify,garden,16.44416046142578,39.73196792602539
full,13700,23.216127395629883,2961029,2962509,densify,garden,16.385759353637695,39.60188674926758
full,13800,23.41974449157715,2966203,2961029,densify,garden,17.36310386657715,40.7828483581543
full,13900,23.136255264282227,2965320,2966203,densify,garden,16.490400314331055,39.62665557861328
full,14000,23.268352508544922,2961724,2965320,densify,garden,15.925984382629395,39.194336891174316
full,14100,22.892608642578125,2959999,2961724,densify,garden,16.1474552154541,39.04006385803223
full,14200,22.924991607666016,2961808,2959999,densify,garden,16.92278480529785,39.84777641296387
full,14300,23.166976928710938,2958236,2961808,densify,garden,15.968255996704102,39.13523292541504
full,14400,23.11452865600586,2965683,2958236,densify,garden,16.352479934692383,39.46700859069824
full,14500,23.509279251098633,2962116,2965683,densify,garden,16.15875244140625,39.66803169250488
full,14600,23.238496780395508,2958360,2962116,densify,garden,15.93331241607666,39.17180919647217
full,14700,23.219968795776367,2955868,2958360,densify,garden,16.188671112060547,39.408639907836914
full,14800,23.06048011779785,2953230,2955868,densify,garden,15.748096466064453,38.808576583862305
full,14900,23.252159118652344,2951718,2953230,densify,garden,16.303104400634766,39.55526351928711
full,18000,15.5862398147583,2575273,2951718,vcp_prune,garden,17.106176376342773,32.692416191101074
full,21000,6.985727787017822,2540508,2575273,vcp_prune,garden,14.816255569458008,21.80198335647583
full,600,151.6696319580078,125910,112627,densify,room,47.332481384277344,199.00211334228516
full,700,6.43887996673584,145608,125910,densify,room,13.84870433807373,20.28758430480957
full,800,6.408192157745361,169212,145608,densify,room,11.85977554321289,18.267967700958252
full,900,5.574624061584473,195507,169212,densify,room,11.190208435058594,16.764832496643066
full,1000,5.874879837036133,222246,195507,densify,room,9.691328048706055,15.566207885742188
full,1100,5.841919898986816,246494,222246,densify,room,10.322943687438965,16.16486358642578
full,1200,5.64243221282959,271716,246494,densify,room,9.397151947021484,15.039584159851074
full,1300,29.279232025146484,292593,271716,densify,room,9.23136043548584,38.510592460632324
full,1400,7.544960021972656,313318,292593,densify,room,9.319199562072754,16.86415958404541
full,1500,6.061215877532959,333335,313318,densify,room,9.746432304382324,15.807648181915283
full,1600,6.602752208709717,357424,333335,densify,room,11.344927787780762,17.94767999649048
full,1700,7.519360065460205,374329,357424,densify,room,9.482080459594727,17.00144052505493
full,1800,6.577151775360107,394409,374329,densify,room,9.29587173461914,15.873023509979248
full,1900,6.685696125030518,415413,394409,densify,room,9.560832023620605,16.246528148651123
full,2000,6.637695789337158,425032,415413,densify,room,9.73414421081543,16.371840000152588
full,2100,8.51353645324707,436222,425032,densify,room,9.541631698608398,18.05516815185547
full,2200,6.750879764556885,446705,436222,densify,room,9.588031768798828,16.338911533355713
full,2300,7.404895782470703,460752,446705,densify,room,9.687040328979492,17.091936111450195
full,2400,6.94374418258667,475013,460752,densify,room,9.8505277633667,16.79427194595337
full,2500,6.891615867614746,483234,475013,densify,room,9.890815734863281,16.782431602478027
full,2600,6.923488140106201,491756,483234,densify,room,9.82630443572998,16.74979257583618
full,2700,7.066624164581299,499647,491756,densify,room,10.340352058410645,17.406976222991943
full,2800,7.150591850280762,508691,499647,densify,room,9.29587173461914,16.446463584899902
