PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,experiment,method,n_gaussians_mean,n_gaussians_std,n_runs,paper_lpips_vgg_mean,paper_lpips_vgg_std,scene,train_time_sec_mean,train_time_sec_std,vram_allocated_gb_mean,vram_allocated_gb_std,wall_time_sec_mean,wall_time_sec_std
25.74110710144043,,0.7665049743652343,,bbox,FasterGSFusedRapid,1473243.0,,1,0.24109407842159272,,bicycle,192.750513,,5.398916244506836,,247.68476537498645,
32.39244512609533,,0.9502412193530315,,bbox,FasterGSFusedRapid,800375.0,,1,0.13736892169391787,,bonsai,182.168674,,6.598633289337158,,245.88203386099485,
29.400204849243163,,0.9221773485342661,,bbox,FasterGSFusedRapid,419417.0,,1,0.16380011886358262,,counter,162.45029100000002,,5.506211757659912,,217.97121861799678,
22.250561020591043,,0.6180594617670233,,bbox,FasterGSFusedRapid,1045579.0,,1,0.3424763056364926,,flowers,181.58361599999998,,4.69740629196167,,228.49082755699055,
27.882926384607952,,0.8711396232247353,,bbox,FasterGSFusedRapid,2515301.0,,1,0.10773384664207697,,garden,300.06205,,6.265168190002441,,350.40003687000717,
31.890996388026647,,0.940417548588344,,bbox,FasterGSFusedRapid,1073914.0,,1,0.09779755483780589,,kitchen,255.398208,,7.142498016357422,,319.56768686999567,
32.46870999458508,,0.9396742307222806,,bbox,FasterGSFusedRapid,486190.0,,1,0.1648829052081475,,room,148.99199199999998,,6.596858978271484,,211.82320426798833,
27.389325499534607,,0.7934680618345737,,bbox,FasterGSFusedRapid,924347.0,,1,0.23875396884977818,,stump,149.16155899999998,,3.6926465034484863,,193.48115874399082,
23.36922730339898,,0.6499523520469666,,bbox,FasterGSFusedRapid,843610.0,,1,0.38176866206857896,,treehill,156.004731,,3.9207472801208496,,200.99613607100036,
25.716389083862303,,0.7667188978195191,,compact,FasterGSFusedRapid,1516882.0,,1,0.24002885580062866,,bicycle,155.380119,,5.045742511749268,,218.67438673001016,
32.606300869503535,,0.9555259798024152,,compact,FasterGSFusedRapid,806984.0,,1,0.13720615369242592,,bonsai,143.445618,,6.051477909088135,,215.6020194730081,
29.332301394144693,,0.921984201669693,,compact,FasterGSFusedRapid,428726.0,,1,0.1637626218299071,,counter,117.88529399999999,,4.824419021606445,,182.05499913700623,
22.244443806734953,,0.6178217354145917,,compact,FasterGSFusedRapid,1062508.0,,1,0.3406044298952276,,flowers,142.118647,,4.144435882568359,,197.6390714070003,
28.073960781097412,,0.8721958870689074,,compact,FasterGSFusedRapid,2548500.0,,1,0.10738229565322399,,garden,258.814265,,6.070546627044678,,317.86165280500427,
32.214867619105746,,0.9411201817648751,,compact,FasterGSFusedRapid,1077889.0,,1,0.09712321162223816,,kitchen,204.557879,,6.476202487945557,,277.62080701900413,
32.43264975914588,,0.9395480675575061,,compact,FasterGSFusedRapid,498614.0,,1,0.1644583801046396,,room,111.00283300000001,,5.998513698577881,,183.8145209250215,
27.39512038230896,,0.7936108745634556,,compact,FasterGSFusedRapid,954847.0,,1,0.23730195499956608,,stump,120.410765,,3.2585644721984863,,172.2094738339947,
23.411558892991806,,0.6517076657878028,,compact,FasterGSFusedRapid,881559.0,,1,0.37750723792446983,,treehill,118.57914500000001,,3.458509922027588,,169.9851179360121,
25.722729873657226,,0.7646228528022766,,compact_075,FasterGSFusedRapid,1514144.0,,1,0.24270291328430177,,bicycle,159.10388899999998,,5.027344703674316,,223.1370701470005,
32.31860470127415,,0.9500775321109874,,compact_075,FasterGSFusedRapid,812666.0,,1,0.13702740318871834,,bonsai,147.543937,,6.104492664337158,,219.56863449398952,
29.370670255025228,,0.9221089879671732,,compact_075,FasterGSFusedRapid,437292.0,,1,0.16326497097810108,,counter,120.323398,,4.846471786499023,,183.4592939259892,
22.184776479547676,,0.618465015834028,,compact_075,FasterGSFusedRapid,1054011.0,,1,0.33593653548847546,,flowers,144.793542,,4.1262335777282715,,198.3040637160011,
28.09141969680786,,0.8716283887624741,,compact_075,FasterGSFusedRapid,2451795.0,,1,0.10775442607700825,,garden,257.85321600000003,,5.985593318939209,,314.9518112420046,
32.190139171055385,,0.9410394191741943,,compact_075,FasterGSFusedRapid,1102702.0,,1,0.0977142727800778,,kitchen,210.61599,,6.615065097808838,,283.2787209119997,
32.39049456669734,,0.9391339803353335,,compact_075,FasterGSFusedRapid,520288.0,,1,0.1649950127571057,,room,113.06231,,6.029924392700195,,183.44034585400368,
27.396134972572327,,0.7932791672646999,,compact_075,FasterGSFusedRapid,1001562.0,,1,0.23789302818477154,,stump,125.11161899999999,,3.292715072631836,,175.08573483600048,
23.287431399027508,,0.6504080957836575,,compact_075,FasterGSFusedRapid,925100.0,,1,0.37693758805592853,,treehill,123.42839599999999,,3.5005035400390625,,173.41393820800295,
25.715819320678712,,0.7647829604148865,,compact_100,FasterGSFusedRapid,1507309.0,,1,0.24252339124679564,,bicycle,159.84471,,5.020398139953613,,219.76951114199983,
32.527302716229414,,0.9540856287286088,,compact_100,FasterGSFusedRapid,811317.0,,1,0.13686397409922368,,bonsai,147.141972,,6.148251056671143,,210.34590141799708,
29.31383819580078,,0.9220153470834096,,compact_100,FasterGSFusedRapid,435426.0,,1,0.16355212728182475,,counter,120.55815799999999,,4.89348030090332,,177.96031067500007,
22.180484078147195,,0.6178690181537108,,compact_100,FasterGSFusedRapid,1039522.0,,1,0.3368023525584828,,flowers,143.202269,,4.156752109527588,,188.5418712999999,
28.104094346364338,,0.8713764796654383,,compact_100,FasterGSFusedRapid,2460156.0,,1,0.10791614341239135,,garden,256.766251,,5.981048583984375,,307.188393982,
32.05132037571499,,0.939737514087132,,compact_100,FasterGSFusedRapid,1108109.0,,1,0.098972444662026,,kitchen,211.64449,,6.637723922729492,,274.70649334399786,
32.38430761679625,,0.9394310055634915,,compact_100,FasterGSFusedRapid,521204.0,,1,0.1643800139427185,,room,113.515617,,6.081692695617676,,176.76428748500257,
27.432403922080994,,0.7937977910041809,,compact_100,FasterGSFusedRapid,994217.0,,1,0.23731367848813534,,stump,124.95802400000001,,3.322530746459961,,168.82310579600016,
23.425473637051052,,0.6520813604195913,,compact_100,FasterGSFusedRapid,908715.0,,1,0.37633512417475384,,treehill,122.50209000000001,,3.5035171508789062,,167.0778399789997,
25.708291015625,,0.7650482749938965,,compact_125,FasterGSFusedRapid,1496302.0,,1,0.24278912127017974,,bicycle,166.835397,,5.0112223625183105,,229.22960233299818,
32.27735627664102,,0.9495490853850906,,compact_125,FasterGSFusedRapid,812975.0,,1,0.13757146572744525,,bonsai,160.363485,,6.198185443878174,,232.82266785499814,
29.357895851135254,,0.9221238851547241,,compact_125,FasterGSFusedRapid,432776.0,,1,0.1635386551419894,,counter,133.159415,,4.937892913818359,,197.15155474199855,
22.2508433081887,,0.6186289299618114,,compact_125,FasterGSFusedRapid,1035403.0,,1,0.3396897478537126,,flowers,155.675301,,4.193272590637207,,210.7368668059935,
27.81006908416748,,0.8702652926246325,,compact_125,FasterGSFusedRapid,2426382.0,,1,0.10931524044523637,,garden,269.08414700000003,,5.947265625,,327.56770031599444,
32.29192880902971,,0.9413767286709377,,compact_125,FasterGSFusedRapid,1097030.0,,1,0.09700805395841598,,kitchen,226.86308699999998,,6.694379806518555,,299.9560773550038,
