backward_ms,experiment,iteration,n_buckets,n_gaussians,n_instances,render_ms,rgb_loss_ms,scene,total_ms
0.9615359902381897,full,500,15730,54275,398522,0.8266239762306213,0.6440960168838501,bicycle,2.432255983352661
1.0126399993896484,full,1000,18301,135657,479801,0.5130239725112915,0.43427199125289917,bicycle,1.9599359631538391
1.5615359544754028,full,1500,24702,256350,685907,0.6340479850769043,0.4363200068473816,bicycle,2.6319039463996887
1.516543984413147,full,2000,17899,409725,470134,0.5615040063858032,0.44099199771881104,bicycle,2.5190399885177612
2.1872639656066895,full,2500,26616,562836,747636,0.6848000288009644,0.4403199851512909,bicycle,3.3123839795589447
2.5067520141601562,full,3000,29580,713938,843734,0.7933760285377502,0.4433920085430145,bicycle,3.743520051240921
2.805759906768799,full,3500,26257,840752,738374,0.7618560194969177,0.4403199851512909,bicycle,4.0079359114170074
3.4201600551605225,full,4000,33401,979431,962852,0.8980479836463928,0.43929600715637207,bicycle,4.757504045963287
3.7498879432678223,full,4500,37158,1078061,1085982,0.9612159729003906,0.4403199851512909,bicycle,5.151423901319504
3.7367360591888428,full,5000,31966,1156844,921325,0.9103360176086426,0.43827199935913086,bicycle,5.085344076156616
3.829535961151123,full,5500,37368,1210508,1092487,0.8273919820785522,0.4384959936141968,bicycle,5.095423936843872
3.5091519355773926,full,6000,26678,1292132,748331,0.7958080172538757,0.4412800073623657,bicycle,4.746239960193634
4.197375774383545,full,6500,41119,1343639,1211915,0.9031680226325989,0.4413439929485321,bicycle,5.541887789964676
4.233215808868408,full,7000,40413,1386075,1188856,0.9859520196914673,0.4433920085430145,bicycle,5.66255983710289
4.195328235626221,full,7500,38028,1437584,1112689,0.9093120098114014,0.4433920085430145,bicycle,5.548032253980637
4.459455966949463,full,8000,40056,1474456,1176152,1.0516480207443237,0.4434559941291809,bicycle,5.9545599818229675
4.1748480796813965,full,8500,33784,1510987,976830,0.8527039885520935,0.4433920085430145,bicycle,5.4709440767765045
4.344895839691162,full,9000,35067,1547619,1015957,0.9902080297470093,0.44361600279808044,bicycle,5.778719872236252
4.1902079582214355,full,9500,32138,1559923,924444,0.8863999843597412,0.4413439929485321,bicycle,5.517951935529709
4.398079872131348,full,10000,37082,1581107,1084639,0.8796160221099854,0.43724799156188965,bicycle,5.714943885803223
4.123648166656494,full,10500,31457,1606277,902221,0.8055679798126221,0.5038080215454102,bicycle,5.433024168014526
5.039103984832764,full,11000,50562,1626860,1513759,1.1991039514541626,0.4413439929485321,bicycle,6.679551929235458
4.391903877258301,full,11500,35123,1651555,1020310,0.8601599931716919,0.4434239864349365,bicycle,5.695487856864929
4.858880043029785,full,12000,45498,1664965,1351887,1.126688003540039,0.44515201449394226,bicycle,6.4307200610637665
5.17852783203125,full,12500,53196,1690052,1599321,1.1335680484771729,0.44547200202941895,bicycle,6.757567882537842
4.603775978088379,full,13000,35891,1711619,1044981,1.0178560018539429,0.44147199392318726,bicycle,6.063103973865509
5.23356819152832,full,13500,47163,1723211,1405935,1.415168046951294,0.6063039898872375,bicycle,7.255040228366852
4.9179840087890625,full,14000,37071,1731569,1080925,0.9748479723930359,0.442656010389328,bicycle,6.335487991571426
4.785183906555176,full,14500,40103,1741304,1179649,1.0292479991912842,0.44019201397895813,bicycle,6.254623919725418
4.743936061859131,full,15000,40136,1745032,1178650,0.9400320053100586,0.43647998571395874,bicycle,6.120448052883148
4.595808029174805,full,15500,36744,1745032,1073314,0.8888319730758667,0.43929600715637207,bicycle,5.9239360094070435
4.672512054443359,full,16000,37367,1745032,1092301,0.8980479836463928,0.4423680007457733,bicycle,6.0129280388355255
4.611072063446045,full,16500,38530,1745032,1128487,0.8898239731788635,0.4402559995651245,bicycle,5.941152036190033
4.574207782745361,full,17000,36522,1745032,1063540,0.8631359934806824,0.43929600715637207,bicycle,5.876639783382416
4.5518717765808105,full,17500,36361,1745032,1058846,0.8765439987182617,0.4403199851512909,bicycle,5.868735760450363
4.36300802230835,full,18000,40205,1525162,1180030,0.9980480074882507,0.44467198848724365,bicycle,5.805728018283844
3.9270401000976562,full,18500,29793,1525162,851268,0.9297919869422913,0.44441598653793335,bicycle,5.301248073577881
4.448544025421143,full,19000,42456,1525162,1253944,0.993503987789154,0.43907201290130615,bicycle,5.881120026111603
4.258815765380859,full,19500,39342,1525162,1154838,0.913375973701477,0.44441598653793335,bicycle,5.61660772562027
4.262911796569824,full,20000,38955,1525162,1142584,0.9472000002861023,0.44543999433517456,bicycle,5.655551791191101
4.2690558433532715,full,20500,38123,1525162,1114634,0.8878080248832703,0.43929600715637207,bicycle,5.596159875392914
4.193312168121338,full,21000,37777,1503052,1104446,0.8499199748039246,0.4413439929485321,bicycle,5.4845761358737946
4.170656204223633,full,21500,35984,1503052,1046992,0.8898559808731079,0.4383679926395416,bicycle,5.498880177736282
4.286464214324951,full,22000,40099,1503052,1178197,1.094655990600586,0.44441598653793335,bicycle,5.8255361914634705
4.40831995010376,full,22500,43332,1503052,1282194,1.0977280139923096,0.44543999433517456,bicycle,5.951487958431244
4.578368186950684,full,23000,48575,1503052,1451188,1.0168319940567017,0.44150400161743164,bicycle,6.036704182624817
1.0044480562210083,full,500,20333,138766,550846,0.7343040108680725,0.4856320023536682,garden,2.224384069442749
1.5965759754180908,full,1000,36006,751241,1050526,0.7625280022621155,0.42188799381256104,garden,2.7809919714927673
3.8205440044403076,full,1500,54045,1365830,1627062,1.1571199893951416,0.42393600940704346,garden,5.401600003242493
4.9069437980651855,full,2000,69393,1799177,2121086,1.4704639911651611,0.42604801058769226,garden,6.803455799818039
6.415359973907471,full,2500,68852,2125339,2102955,1.5843199491500854,0.4227199852466583,garden,8.422399908304214
7.012351989746094,full,3000,72390,2325050,2215484,1.7200959920883179,0.4259839951992035,garden,9.158431977033615
8.338751792907715,full,3500,79222,2494466,2434348,1.8554879426956177,0.4249599874019623,garden,10.619199723005295
8.611647605895996,full,4000,76511,2619653,2347921,1.8265279531478882,0.424127995967865,garden,10.86230355501175
8.766400337219238,full,4500,78184,2674873,2400341,1.8505280017852783,0.4258880019187927,garden,11.04281634092331
9.529184341430664,full,5000,87279,2725464,2693170,2.1432321071624756,0.4251199960708618,garden,12.097536444664001
8.126463890075684,full,5500,77427,2743421,2376679,1.4150079488754272,0.4239040017127991,garden,9.96537584066391
8.336383819580078,full,6000,74970,2790776,2297671,1.4602240324020386,0.42188799381256104,garden,10.218495845794678
8.386560440063477,full,6500,75790,2830375,2323063,1.5124479532241821,0.42393600940704346,garden,10.322944402694702
8.579327583312988,full,7000,76228,2829357,2340294,1.5665279626846313,0.4259839951992035,garden,10.571839541196823
8.471551895141602,full,7500,78398,2826771,2408619,1.530784010887146,0.42291200160980225,garden,10.42524790763855
8.761247634887695,full,8000,85032,2839815,2620487,1.7285120487213135,0.42710399627685547,garden,10.916863679885864
9.165823936462402,full,8500,88945,2841562,2746434,1.7182719707489014,0.42905598878860474,garden,11.313151895999908
8.25766372680664,full,9000,75724,2862450,2323517,1.4295040369033813,0.4259839951992035,garden,10.113151758909225
8.411104202270508,full,9500,75498,2868852,2315523,1.74070405960083,0.42499199509620667,garden,10.576800256967545
8.48691177368164,full,10000,82497,2882354,2539569,1.5163840055465698,0.4259839951992035,garden,10.429279774427414
9.004735946655273,full,10500,84680,2883703,2609040,1.6333760023117065,0.42422398924827576,garden,11.062335938215256
8.319711685180664,full,11000,71155,2898863,2175899,1.4028160572052002,0.42524799704551697,garden,10.147775739431381
8.348671913146973,full,11500,72033,2905351,2205683,1.4410560131072998,0.42467200756073,garden,10.214399933815002
8.250368118286133,full,12000,71218,2914291,2178652,1.3998080492019653,0.4249599874019623,garden,10.07513615489006
8.803327560424805,full,12500,81289,2946193,2499772,1.5629119873046875,0.42671999335289,garden,10.792959541082382
8.995648384094238,full,13000,86713,2964596,2673254,1.5892479419708252,0.42822399735450745,garden,11.013120323419571
8.230624198913574,full,13500,70799,2963063,2165018,1.3905919790267944,0.4201279878616333,garden,10.041344165802002
9.021439552307129,full,14000,82494,2961724,2538066,1.5992319583892822,0.4249599874019623,garden,11.045631498098373
8.515583992004395,full,14500,74112,2962116,2271213,1.500991940498352,0.42585599422454834,garden,10.442431926727295
8.309760093688965,full,15000,74607,2951718,2287034,1.4550080299377441,0.4227840006351471,garden,10.187552124261856
8.345600128173828,full,15500,78751,2951718,2418432,1.4335999488830566,0.4270080029964447,garden,10.20620808005333
8.353792190551758,full,16000,79336,2951718,2439616,1.465343952178955,0.4259839951992035,garden,10.245120137929916
8.292351722717285,full,16500,76276,2951718,2339804,1.4728000164031982,0.4277440011501312,garden,10.192895740270615
8.290304183959961,full,17000,75004,2951718,2300071,1.4223359823226929,0.4280320107936859,garden,10.14067217707634
8.360832214355469,full,17500,78997,2951718,2428254,1.4284800291061401,0.42508798837661743,garden,10.214400231838226
7.458816051483154,full,18000,69471,2575273,2123039,1.444991946220398,0.4238080084323883,garden,9.32761600613594
7.783423900604248,full,18500,78406,2575273,2407854,1.411072015762329,0.42188799381256104,garden,9.616383910179138
7.288832187652588,full,19000,67172,2575273,2048853,1.3383359909057617,0.4248639941215515,garden,9.052032172679901
