PSNR,SSIM,commit,dirty,experiment,method,n_gaussians,num_iterations,paper_lpips_vgg,run,scene,suite,train_time_sec,vram_allocated_gb,wall_time_sec
25.26421531677246,0.765493586063385,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,4684596.0,30000,0.2052609360218048,run_01,bicycle,gaussiansplatting_9scenes_r1c,1204.277526,6.535756587982178,1250.2266376539774
21.566857598044656,0.6017836345867678,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,2779256.0,30000,0.3346445032141425,run_01,flowers,gaussiansplatting_9scenes_r1c,859.198423,3.805497169494629,899.4261105770129
27.493876377741497,0.8667040665944418,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,4061444.0,30000,0.10528836554537217,run_01,garden,gaussiansplatting_9scenes_r1c,1169.603955,5.520532608032227,1213.5574543949915
26.61670410633087,0.7710116393864155,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,4160262.0,30000,0.2145159263163805,run_01,stump,gaussiansplatting_9scenes_r1c,984.0677190000001,5.582422256469727,1025.376381362992
22.664340337117512,0.6331524782710605,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,3056484.0,30000,0.3222808837890625,run_01,treehill,gaussiansplatting_9scenes_r1c,926.6794,4.1877336502075195,967.4868124389905
31.759248293363132,0.9206553926834693,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,1244363.0,30000,0.21741754580766726,run_01,room,gaussiansplatting_9scenes_r1c,1117.810731,2.1420493125915527,1185.3943590889976
29.14900360107422,0.9095279494921367,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,1037906.0,30000,0.19697991559902828,run_01,counter,gaussiansplatting_9scenes_r1c,1073.9883690000001,1.8320574760437012,1134.8033451829979
31.530313546316965,0.9282313142504011,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,1551792.0,30000,0.12471341448170799,run_01,kitchen,gaussiansplatting_9scenes_r1c,1236.598142,2.556769371032715,1303.1755764910195
32.32246383460792,0.9414376471493695,e990b62e6a1b5b36191853ca068799b6bc78c08b,True,main_3dgs,GaussianSplatting,1045333.0,30000,0.2029087096452713,run_01,bonsai,gaussiansplatting_9scenes_r1c,909.6772569999999,1.6659760475158691,975.6331669840147
25.255477600097656,0.7670379662513733,unknown,False,main_fastergs,FasterGSFused,4832680.0,30000,0.20213117241859435,run_01,bicycle,fastergsfused_9scenes_r1c,444.45860899999997,4.966646194458008,488.98661778101814
21.645942774685945,0.603656682101163,unknown,False,main_fastergs,FasterGSFused,2821530.0,30000,0.33376240865750745,run_01,flowers,fastergsfused_9scenes_r1c,320.733142,2.8773961067199707,360.39496777701424
27.533296585083008,0.8668858334422112,unknown,False,main_fastergs,FasterGSFused,4151230.0,30000,0.1047866086785992,run_01,garden,fastergsfused_9scenes_r1c,456.037178,4.21663236618042,499.6667786859907
26.6615571975708,0.771534264087677,unknown,False,main_fastergs,FasterGSFused,4279265.0,30000,0.2118992619216442,run_01,stump,fastergsfused_9scenes_r1c,374.252009,4.361817359924316,413.8550416599901
22.730071385701496,0.6364929642942216,unknown,False,main_fastergs,FasterGSFused,3179840.0,30000,0.31570080916086835,run_01,treehill,fastergsfused_9scenes_r1c,329.899442,3.24491024017334,370.244378510979
31.545762966840694,0.9205696873175793,unknown,False,main_fastergs,FasterGSFused,1316044.0,30000,0.2147681311919139,run_01,room,fastergsfused_9scenes_r1c,280.137896,1.5460467338562012,347.1209589840146
29.124523735046388,0.909301346540451,unknown,False,main_fastergs,FasterGSFused,1065832.0,30000,0.19723408420880637,run_01,counter,fastergsfused_9scenes_r1c,284.920187,1.3611526489257812,345.7633313209808
31.38930353437151,0.9291052647999355,unknown,False,main_fastergs,FasterGSFused,1594297.0,30000,0.12356312019484383,run_01,kitchen,fastergsfused_9scenes_r1c,363.937454,1.8752970695495605,429.55737032802426
32.1816828959697,0.9407616032136453,unknown,False,main_fastergs,FasterGSFused,1067062.0,30000,0.2030086477060576,run_01,bonsai,fastergsfused_9scenes_r1c,263.51428500000003,1.248990535736084,328.9926416189992
25.716389083862303,0.7667188978195191,unknown,False,main_rapidgs,FasterGSFusedRapid,1516882.0,23000,0.24002885580062866,run_01,bicycle,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,155.380119,5.045742511749268,218.67438673001016
22.244443806734953,0.6178217354145917,unknown,False,main_rapidgs,FasterGSFusedRapid,1062508.0,23000,0.3406044298952276,run_01,flowers,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,142.118647,4.144435882568359,197.6390714070003
28.073960781097412,0.8721958870689074,unknown,False,main_rapidgs,FasterGSFusedRapid,2548500.0,23000,0.10738229565322399,run_01,garden,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,258.814265,6.070546627044678,317.86165280500427
27.39512038230896,0.7936108745634556,unknown,False,main_rapidgs,FasterGSFusedRapid,954847.0,23000,0.23730195499956608,run_01,stump,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,120.410765,3.2585644721984863,172.2094738339947
23.411558892991806,0.6517076657878028,unknown,False,main_rapidgs,FasterGSFusedRapid,881559.0,23000,0.37750723792446983,run_01,treehill,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,118.57914500000001,3.458509922027588,169.9851179360121
32.43264975914588,0.9395480675575061,unknown,False,main_rapidgs,FasterGSFusedRapid,498614.0,23000,0.1644583801046396,run_01,room,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,111.00283300000001,5.998513698577881,183.8145209250215
29.332301394144693,0.921984201669693,unknown,False,main_rapidgs,FasterGSFusedRapid,428726.0,23000,0.1637626218299071,run_01,counter,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,117.88529399999999,4.824419021606445,182.05499913700623
32.214867619105746,0.9411201817648751,unknown,False,main_rapidgs,FasterGSFusedRapid,1077889.0,23000,0.09712321162223816,run_01,kitchen,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,204.557879,6.476202487945557,277.62080701900413
32.606300869503535,0.9555259798024152,unknown,False,main_rapidgs,FasterGSFusedRapid,806984.0,23000,0.13720615369242592,run_01,bonsai,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,143.445618,6.051477909088135,215.6020194730081
25.716389083862303,0.7667188978195191,unknown,False,structure_full,FasterGSFusedRapid,1516882.0,23000,0.24002885580062866,run_01,bicycle,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,155.380119,5.045742511749268,218.67438673001016
22.244443806734953,0.6178217354145917,unknown,False,structure_full,FasterGSFusedRapid,1062508.0,23000,0.3406044298952276,run_01,flowers,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,142.118647,4.144435882568359,197.6390714070003
28.073960781097412,0.8721958870689074,unknown,False,structure_full,FasterGSFusedRapid,2548500.0,23000,0.10738229565322399,run_01,garden,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,258.814265,6.070546627044678,317.86165280500427
27.39512038230896,0.7936108745634556,unknown,False,structure_full,FasterGSFusedRapid,954847.0,23000,0.23730195499956608,run_01,stump,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,120.410765,3.2585644721984863,172.2094738339947
23.411558892991806,0.6517076657878028,unknown,False,structure_full,FasterGSFusedRapid,881559.0,23000,0.37750723792446983,run_01,treehill,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,118.57914500000001,3.458509922027588,169.9851179360121
32.43264975914588,0.9395480675575061,unknown,False,structure_full,FasterGSFusedRapid,498614.0,23000,0.1644583801046396,run_01,room,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,111.00283300000001,5.998513698577881,183.8145209250215
29.332301394144693,0.921984201669693,unknown,False,structure_full,FasterGSFusedRapid,428726.0,23000,0.1637626218299071,run_01,counter,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,117.88529399999999,4.824419021606445,182.05499913700623
32.214867619105746,0.9411201817648751,unknown,False,structure_full,FasterGSFusedRapid,1077889.0,23000,0.09712321162223816,run_01,kitchen,fastergsfusedrapid_ablation_23k_compact075_score5_9scenes_r1,204.557879,6.476202487945557,277.62080701900413
