PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,experiment,method,n_gaussians_mean,n_gaussians_std,n_runs,paper_lpips_vgg_mean,paper_lpips_vgg_std,train_time_sec_mean,train_time_sec_std,vram_allocated_gb_mean,vram_allocated_gb_std,wall_time_sec_mean,wall_time_sec_std
28.08727818528036,3.8125474329499545,0.8279594244929395,0.12822452352463296,bbox,FasterGSFusedRapid,1064664.0,628600.8840418934,9,0.20840848469133036,0.10082056498490737,192.06351488888888,52.14893082397071,5.535454061296251,1.229687098803282,246.25522980377232,54.034308368948935
28.158621398766144,3.8721203519100555,0.8289148323831962,0.1286821045223729,compact,FasterGSFusedRapid,1086278.7777777778,636303.8872144303,9,0.20726390461359187,0.09967345796025182,152.46606277777778,49.131610113969224,5.036490281422933,1.2036193217886928,215.05133880734016,50.907271925440625
28.105822346184965,3.8543174521999113,0.8278626044483138,0.12818802439603827,compact_075,FasterGSFusedRapid,1091062.2222222222,601909.1586827654,9,0.20713623897716538,0.09880455095448933,155.75958855555555,48.340787959400444,5.058704906039768,1.2134949129125125,217.18217925944353,50.35959041183354
28.12611602320708,3.841522855898591,0.8283530116800499,0.1283489346590585,compact_100,FasterGSFusedRapid,1087330.5555555555,604771.1299196398,9,0.20718436109626132,0.09862451892785803,155.5703978888889,48.28596479771301,5.082821634080675,1.216942597760483,210.13085723566635,49.82140239365053
28.105802183413154,3.8482350954348417,0.8278813055063021,0.12799838520970713,compact_125,FasterGSFusedRapid,1078797.7777777778,595055.5114333405,9,0.20783987849715976,0.09944040945997337,166.70178422222222,49.49335399757444,5.107633908589681,1.2217227347702615,228.89140914166475,51.71017478032135
28.158621398766144,3.8721203519100555,0.8289148323831962,0.1286821045223729,fused,FasterGSFusedRapid,1086278.7777777778,636303.8872144303,9,0.20726390461359187,0.09967345796025182,152.46606277777778,49.131610113969224,5.036490281422933,1.2036193217886928,215.05133880734016,50.907271925440625
29.833147834211807,0.44593761391912573,0.906392775546047,0.0028666457791644835,generalization_deep_blending,FasterGSFused,2542151.0,916526.3539298802,2,0.23732785812054558,0.0032382748672192007,291.938705,53.833648626765836,2.664280891418457,0.9772694288405306,335.4720156865005,57.731593041722476
29.901896052226004,0.7236864751590757,0.9066853392149089,0.0071037535904329594,generalization_deep_blending,FasterGSFusedRapid,776562.5,172769.5211676527,2,0.24169795373951009,0.004444202847414383,86.4918475,6.6388579842533515,3.64863920211792,0.6984049742555943,128.06690783000158,9.310248954124672
29.772730398825843,0.5818194213452905,0.905922853616587,0.0033477548735143694,generalization_deep_blending,GaussianSplatting,2426629.5,845885.6793825629,2,0.2386300786006164,0.0022725288287529484,1153.8810615,222.05933202410537,3.756464958190918,1.4079751544439065,1197.623889184997,225.7147927830384
23.560746890933892,2.704253345420928,0.8492180536942262,0.047022596213485125,generalization_tandt,FasterGSFused,1530667.5,670625.02102479,2,0.16865234510164318,0.03798696035979348,242.21163199999998,42.622467782625996,1.6240394115447998,0.6304989834592061,275.8244660429991,42.676988030518395
23.88152293625631,2.7104136130929772,0.852291239327506,0.04685347415062159,generalization_tandt,FasterGSFusedRapid,619932.0,39466.45788514597,2,0.1680196604912022,0.03910363824295497,89.284184,1.2488128009721848,2.2698893547058105,0.16079730773961057,122.21514022649717,1.6865683730212653
22.268181916914486,4.409122429047768,0.7963403174653649,0.1173283139080188,generalization_tandt,GaussianSplatting,1420880.5,770741.4417458685,2,0.23008979170117527,0.11916815868250734,613.1801244999999,80.16027000177544,2.081087827682495,0.9798741040785038,647.0870025544973,79.28729294664326
27.986783547370685,3.7204745357853417,0.8315877815131673,0.12540808794590985,legacy_structure_gradient_only_compact100_score10,FasterGSFusedRapid,2221955.222222222,1068013.679492423,9,0.1961159122858546,0.09138959424999807,220.547205,75.289243184539,6.322109911176893,1.6920170104603478,283.31484188178246,78.1304179856323
28.01202207894346,3.698908436629132,0.8314740714440848,0.12457070392207777,legacy_structure_no_score_gate_compact100_score10,FasterGSFusedRapid,1806190.5555555555,914682.3789388739,9,0.19703281726160513,0.09144690071445288,214.15718877777778,71.95827132733649,6.321237617068821,1.6915009353327783,277.4144477262194,74.34764596269599
28.172668101971922,3.910820247319882,0.8283517292860512,0.12883159771334773,legacy_structure_no_vcp_compact100_score10,FasterGSFusedRapid,1211195.3333333333,634283.4931877858,9,0.20633366039430728,0.09882658693821822,166.96104566666668,49.906090788926896,5.087422106001112,1.22066480151286,231.12953643388917,51.636785758867575
27.596335890152137,3.9471704043276943,0.8153330787197164,0.12966028542919794,main_3dgs,GaussianSplatting,2624604.0,1455354.6618523095,9,0.21377891115782638,0.07629772021498245,1053.5446135555555,138.5807238795494,3.758754942152235,1.8192705186284357,1106.1199826861105,143.06268656962172
27.56306874170747,3.8532533957812167,0.8161495124498064,0.12858573459777872,main_fastergs,FasterGSFused,2700864.4444444445,1494505.9624697145,9,0.21187269379320392,0.07524919621720681,346.4322446666667,69.5437097600104,2.855432139502631,1.4239093896801371,398.28689851855677,63.36904067413487
28.158621398766144,3.8721203519100555,0.8289148323831962,0.1286821045223729,main_rapidgs,FasterGSFusedRapid,1086278.7777777778,636303.8872144303,9,0.20726390461359187,0.09967345796025182,152.46606277777778,49.131610113969224,5.036490281422933,1.2036193217886928,215.05133880734016,50.907271925440625
28.13625247740927,3.6814768907363997,0.8282805680119856,0.12256080091067033,repeat4_rapidgs_compact100_score10,FasterGSFusedRapid,1085758.5,570840.6138519128,36,0.20736840611245436,0.09461633376278102,168.45456333333334,47.763645110803225,5.0834254953596325,1.1619534201161845,233.76818015749893,49.358165486376585
28.027057620803923,3.6240480501900345,0.8265524868152109,0.12304112904365724,schedule_21k,FasterGSFusedRapid,1075135.8055555555,567903.9845445113,36,0.2099936750771986,0.09600194182822086,149.89144713888888,42.78313989627337,5.068437311384413,1.1593517517381677,211.65361305347244,44.9158380162371
28.062538738096436,3.815851524058152,0.8265403609447187,0.1278843496342378,schedule_22k,FasterGSFusedRapid,1075306.111111111,588007.0372570902,9,0.2091074177703736,0.09961114135489088,157.48861133333332,46.79629399541966,5.069515334235297,1.2126275275891574,220.0433297922201,48.70049638986925
